user,text
GreenBayGuru,"RT @santiagomayer_: @SpeakerMcCarthy Incredible timing, giving “the blue” just brutally murdered a man in Memphis."
SpringateJim,@SpeakerMcCarthy Interpretation; kids whose parents have money and influence can create private schools with public… https://t.co/lZhYIjtne2
MarchalOmbre_,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/R4AAMp8bAZ
FrankieMac9,"RT @WVUMAMA2: @SpeakerMcCarthy If ANY President commits extortion or incites an insurrection, I certainly hope you will impeach him/her. Yo…"
GOAT_Mom,@SpeakerMcCarthy is a publicly neutered #MTG chew toy.
FrankieMac9,RT @LynnCha22280011: @SpeakerMcCarthy Ummm . . . Trump was impeached the first time for attempted extortion of a foreign President and the…
DmitrysPlane,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/TnespWClC1
FrankieMac9,RT @EileenLeftPA: @SpeakerMcCarthy Your partisan attack on President Biden after allowing trump to try to overthrow our government is botto…
FrankieMac9,RT @SandyShriver9: @SpeakerMcCarthy https://t.co/xDOq2KFrnE
RickWhi77530050,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/dwwatA0nUI
tmcresanti,"RT @Smcscribbler3: @SpeakerMcCarthy Hey Speaker, remember when these two got their security clearances? https://t.co/A4GQQkOxTf"
gryph82,RT @jeanne_cleve: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @RepC…
FrankieMac9,"RT @EileenLeftPA: @SpeakerMcCarthy Gop translation:  ""follow the truth"" means endless, money-wasting, revenge, harassment witch hunts to de…"
theresatruth,@SpeakerMcCarthy @HouseGOP @SenateGOP @TrumpWarRoom https://t.co/BbnFpp3F1k
Boulderbloke,RT @jtfdenver: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @RepChri…
Boulderbloke,RT @caringguy1957: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @Rep…
FrankieMac9,RT @SPBMcKenna: @SpeakerMcCarthy But @SpeakerMcCarthy failed to mention that he used plenty of BRIBES to get his job!  George @Santos4Congr…
CometsComentary,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/wYJGIJIjW2
DefranceJames,@SpeakerMcCarthy !!! https://t.co/qY7FdT2Sri
Gann15Jerry,@SpeakerMcCarthy Keep shitwell off of all committees!
NYCurmudgeon2,RT @Kodi4momma: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @RepChr…
NYCurmudgeon2,RT @LivingWillie: @SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup @RepC…
DavidShamu,"@SpeakerMcCarthy @RepMichaelGuest Republicans hold their first committee hearing. Screaming, yelling and flying poo… https://t.co/91qKX2if9V"
thepatriotpar45,@SpeakerMcCarthy https://t.co/hsooqTHke6
doctorvball,"@SpeakerMcCarthy As a taxpayer, I believe in separation of church and state."
CrAiGkares2,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/9Ravxr9mrJ
unocelestial,RT @BellaMia614: @SpeakerMcCarthy https://t.co/JV4ram4Ph0
unocelestial,RT @jaxtell123: @SpeakerMcCarthy 25% of our current debt was run up by the @GOP and the #TraitorTrump administration!  The @POTUS administr…
glscienze,@SpeakerMcCarthy The children would like to go to a school where they don’t get their faces blown off by gun fire.
unocelestial,RT @PhineasGregg: @SpeakerMcCarthy The @HouseGOP 's first priority was passing a couple of anti-abortion bills and protecting George Santos…
HiramKinney10,@SpeakerMcCarthy Start a movement for a balanced budget amendment to the constitution.
BTown481,"@SpeakerMcCarthy No, you don't deserve that. You are most likely not a qualified educator and your knowledge of fac… https://t.co/UD0BIDsdxy"
unocelestial,RT @russelltim151: @SpeakerMcCarthy Really Kevin @SpeakerMcCarthy is this what you were doing Ending Waistful Spending. $2.3 Trillion #GOPT…
unocelestial,"RT @JAMESEDSTROM: @SpeakerMcCarthy why didn't you say that when Trump and republicans put us over 7 trillion more in debt? Meanwhile, Biden…"
JamesMcGrandles,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/lR257qHiea
MBBrownSF3,"@SpeakerMcCarthy That'd be Democratic candidates and a 2024 blue wave, right, Kev?"
minibdr,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/khYjr3qiZX
REThompson007,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/GXswAeYOPo
Emily60946744,@SpeakerMcCarthy How about parents who choose to not have their children be murdered in school now that the leading… https://t.co/SS82DxuaHN
FromWayDownHere,@SpeakerMcCarthy @RepMikeTurner @TomColeOK04 @RulesReps @RepGallagher @RobWittman @michaelcburgess @RepBradWenstrup… https://t.co/TZveSIJzrp
