user,text
Team14k_Mom,@POTUS Today's gas and diesel prices per the https://t.co/iiMp0MdTM4 website. See all the red arrows??? Gas prices… https://t.co/kygH7G6Nrb
disneywithjaime,@POTUS Too bad you sold some of our supply to other countries #treason you’re to blame for this not republicans.
tropicalgoldeth,@POTUS Bologna
gregoriojohn4,@POTUS Fas was much cheaper then that before you shut down keystone
HedKandiPrinces,@POTUS Thanks dad
JuanitoJJB,@POTUS Show us how much with your fingers there ol Joey boy
ThomasKrichbau1,@POTUS Putin has nothing to do with the high gas prices.  It's all on you!
Timmy0u812,@POTUS Hmm who was in charge 2021? And guess what you have a really long way to go if your trying to get back to Trumps victories
potevan1,@POTUS This must be a parody account...
matthewroren,@POTUS Good because paying optimum $108 a month for the worst internet service ever is stupid
cam98111,@POTUS Do groceries next
rufus_bischoff,"@POTUS Propaganda from a fake site from a,fake president"
TheBeardedD,"@POTUS Oh wow you did such a good job Creepy Uncle Joe, you *checks notes* pointed out a trend that has literally h… https://t.co/k0Kg3XFTFZ"
aryamhr38,@POTUS آقای بی تفاوت ملت ایران داره کشته میشه ازبین ميره بداد ما برس مسیح وبیارییم تاباور کنید
wardddw1,@POTUS Then stop spending money we don’t have
VernonLatta1,@POTUS Shut up!
GundamFan84,@POTUS Stop lying florida gas prices went up almost a dollar within the past month.
JuanitoJJB,"@POTUS That's great Joey, kids are needing to catch up on their lessons of drag queen story time, crt, and how to b… https://t.co/OKW5hLAhhA"
tommy_lowell,"@POTUS It was YOU who created the Crisis by shutting down production. Under President Trump,  we had been Energy Independent."
lishn1112,@POTUS 为什么我们国家领导人，不敢开社交账号。我很无奈啊
UsaPete2,"@POTUS we been paying Tax's for that since 2009, why ain't it happened !"
davidbent1948,RT @CollinRugg: @POTUS You forgot about the part where gas prices skyrocketed from $1.50 to $5 under your Administration.
Rusty_Schak,"@POTUS My health insurance went up $160 a month. You're killing us joe.  But you know that, it's the plan. We want President Trump back."
YakWooly,RT @elainelancaster: @POTUS Since the day #JoeBiden started talking in public it’s all a Lie… #BidenClassifiedDocuments #BidenCrimeFamilly…
Anthony37174274,@POTUS 🤡
wardddw1,@POTUS Nonsense
joshuahharris,"@POTUS Cool, extend that freedom to the unborn..."
JauffretSoligna,@POTUS Wait there is a toll on that bridge no ? So maybe you should let the people that takes it pay for the mainte… https://t.co/CPVfKSeS7A
Otisj007,"@POTUS FJB, what kind of inappropriate relationship was your daughter talking about in her diary"
successbrian,"@POTUS Somehow I got all the way through High School with a 3.7 GPA and had absolutely no WiFi or ""high speed inter… https://t.co/slHvk9HsuG"
buchman_ed4473,@POTUS No you won't.
adonielohim143,@POTUS Dahh
mrpotato2900000,RT @ZacksJerryRig: @POTUS Sounds like a good idea to me.
kwansfull,@POTUS @CommunityNotes
badfish1955,@POTUS I live in rural Kansas That's a freakin lie
RPMackMurphee,@POTUS generic geriatric all gnarled and twisted bones knuckled around an exhausted LIE!
kaifresn,@POTUS Save our steelhead
Flwrsmom96,RT @MarioFratto: @POTUS Are you actually trying to brag about causing record inflation and then lowering from the level you previously crea…
MikeInDubai,@POTUS Bahahaha
maxson_don,@POTUS You and nato started this.NICE TRY
joshuahharris,"@POTUS Lol, why not let that state pay for its own.  They lie about their gas tax going to roadwork.  First hand kn… https://t.co/OnSw6HWZZk"
dave4771513,"@POTUS IT'S CLIMATE CHANGE, IT'S PUTIN, IT'S TRUMP, IT'S THE MAGA PEOPLE, IT'S RACISM, IT'S THE REPUBLICANS! JESUS… https://t.co/XMV7y80QKr"
SCLondonStation,@POTUS Rising costs caused by… ? https://t.co/jvcAkVREAK
BrazosEric,@POTUS 🙄🙄🙄
Woody2Jeffrey,"RT @LPNational: @POTUS You blamed Putin when prices went up a lot, but take credit when they come down a little.   Even when they're not cl…"
lishn1112,@POTUS 加油，可惜我活着一点也不幸福。
socialjusticei5,RT @AlisonBoxxer: @POTUS @nbcsnl Monterey Park #MassShooting https://t.co/wZ0pV1cPjj
Jacquel13070934,@POTUS You sold china our strategic reserve fuel.  Foolish move.
PageY61482579,"@POTUS Repeated promises never delivered, plagiarist, dishonest, everything is manufactured teleprompter faux leader!"
